symbol,Date,signal
CAL,05/27/15,1
BKE,05/21/15,-1
CHS,05/27/15,1
FL,05/22/15,1
GME,05/29/15,1
GPS,05/22/15,-1
GCO,05/29/15,-1
EXPR,05/28/15,1
DKS,05/19/15,-1
DSW,05/27/15,1
CTRP,05/14/15,1
NILE,05/11/15,1
DANG,05/28/15,-1
VIPS,05/14/15,1
W,05/11/15,-1
JCP,05/14/15,1
KSS,05/14/15,1
M,05/13/15,-1
TGT,05/20/15,1
JWN,05/15/15,-1
DDS,05/15/15,-1
ZAYO,05/13/15,-1
SHAK,05/14/15,1
GEF,06/09/15,1
PVH,06/02/15,1
OXM,06/10/15,1
VRA,06/03/15,-1
GIII,06/03/15,1
VNCE,06/05/15,-1
HOV,06/09/15,-1
CBRL,06/02/15,1
KKD,06/11/15,1
MTN,06/08/15,-1
BOBE,06/17/15,1
PBY,06/09/15,1
PIR,06/18/15,-1
ASNA,06/03/15,-1
ZUMZ,06/05/15,-1
GES,06/03/15,1
RH,06/12/15,-1
FIVE,06/04/15,1
MFRM,06/10/15,-1
BURL,06/09/15,-1
KFY,06/12/15,1
ESL,06/05/15,-1
NX,06/03/15,1
LABL,06/05/15,-1
PPO,06/11/15,-1
ATU,06/17/15,1
UTIW,06/04/15,-1
HDS,06/09/15,1
HTZ,06/18/15,1
CMTL,06/05/15,1
CIEN,06/04/15,1
JBL,06/18/15,-1
DAKT,06/02/15,-1
RATE,06/18/15,-1
RATE,06/18/15,-1
BOX,06/11/15,1
IXYS,06/05/15,1
AMBA,06/03/15,1
ORCL,06/18/15,-1
VRNT,06/04/15,1
GWRE,06/03/15,-1
SHLM,07/07/15,-1
MON,06/24/15,1
NKE,06/26/15,1
APOL,06/30/15,1
LEN,06/24/15,1
SWHC,06/19/15,1
ISCA,07/02/15,-1
CCL,06/23/15,1
DRI,06/23/15,1
KMX,06/19/15,-1
FINL,06/26/15,1
TCS,07/08/15,-1
CMC,06/25/15,-1
SCHN,06/30/15,1
WOR,06/25/15,1
AVAV,07/01/15,1
APOG,06/25/15,1
SCS,06/25/15,1
UNF,07/01/15,1
MLHR,06/25/15,1
AZZ,07/01/15,1
LNN,06/25/15,1
GBX,07/01/15,-1
MSM,07/07/15,1
PGR,07/17/15,1
COF,07/24/15,-1
BAC,07/15/15,1
C,07/16/15,1
CTBI,07/15/15,1
CPF,07/24/15,1
KKR,07/23/15,1
BK,07/21/15,1
GS,07/16/15,1
BX,07/16/15,-1
CCI,07/23/15,1
T,07/24/15,1
COP,07/30/15,1
CLR,08/06/15,1
MRO,08/06/15,1
SE,08/05/15,1
PXD,08/05/15,1
APC,07/29/15,1
APA,08/06/15,1
UPLMQ,07/30/15,1
VLO,07/30/15,1
VNR,08/04/15,-1
WNR,08/04/15,1
WMB,07/30/15,-1
CVX,07/31/15,-1
EPD,07/30/15,1
EOG,08/07/15,1
XOM,07/31/15,-1
DK,08/04/15,1
DVN,08/05/15,1
MPC,07/30/15,-1
HK,07/31/15,1
NBR,08/05/15,1
NE,07/30/15,1
SPN,07/31/15,-1
RES,07/29/15,-1
OIS,07/29/15,1
TDW,08/11/15,1
RIG,08/06/15,1
BWP,08/03/15,-1
CRR,07/30/15,-1
ESV,07/30/15,1
DO,08/03/15,1
DRQ,07/30/15,-1
RNET,08/05/15,1
PRU,08/06/15,1
GNW,08/05/15,-1
PRAA,08/11/15,-1
GDOT,08/05/15,1
EZPW,08/11/15,-1
JLL,07/29/15,1
CBOE,07/31/15,1
LC,08/05/15,1
ONDK,08/04/15,1
BEN,07/29/15,-1
S,08/04/15,1
AMT,07/29/15,-1
TMUS,07/30/15,1
RNG,07/31/15,1
LVLT,07/29/15,1
CTL,08/06/15,-1
MTRX,09/01/15,1
EZPW,08/31/15,1
BMO,08/25/15,-1
YGE,09/08/15,-1
STZ,10/07/15,1
PM,10/15/15,1
ANGO,10/09/15,-1
HW,11/03/15,1
AGU,11/05/15,-1
HUN,10/27/15,1
KRA,10/29/15,-1
LYB,10/23/15,1
NEU,10/27/15,1
KWR,10/29/15,1
AVD,11/03/15,1
ASH,11/04/15,1
OLN,11/03/15,-1
